"State","Year","Children Without a Recurrence (%)","Children With One Or More Recurrence (%)","Number of Unique Victims"
"Alabama","2012","98.4","1.6","4,043"
"Alaska","2012","87.8","12.2","1,218"
"Arizona","2012","95.4","4.6","3,795"
"Arkansas","2012","93.6","6.4","5,771"
"California","2012","93.3","6.7","37,970"
"Colorado","2012","95.6","4.4","5,030"
"Connecticut","2012","94.4","5.6","4,421"
"Delaware","2012","97.5","2.5","1,218"
"District of Columbia","2012","95.5","4.5","1,185"
"Florida","2012","92.8","7.2","27,133"
"Georgia","2012","96.7","3.3","10,114"
"Hawaii","2012","98.1","1.9","727"
"Idaho","2012","96.2","3.8","738"
"Illinois","2012","93.8","6.2","9,999"
"Indiana","2012","93.2","6.8","10,559"
"Iowa","2012","92.7","7.3","5,766"
"Kansas","2012","96.6","3.4","923"
"Kentucky","2012","93.8","6.2","7,334"
"Louisiana","2012","94.7","5.3","4,239"
"Maine","2012","93.7","6.3","1,908"
"Maryland","2012","92.9","7.1","6,856"
"Massachusetts","2012","91.5","8.5","9,773"
"Michigan","2012","92.8","7.2","17,400"
"Minnesota","2012","96.2","3.8","2,238"
"Mississippi","2012","93.2","6.8","3,565"
"Missouri","2012","97.9","2.1","2,751"
"Montana","2012","96.6","3.4","672"
"Nebraska","2012","92.6","7.4","1,913"
"Nevada","2012","95.2","4.8","2,731"
"New Hampshire","2012","98.3","1.7","403"
"New Jersey","2012","94.9","5.1","4,691"
"New Mexico","2012","91","9","2,948"
"New York","2012","87.6","12.4","37,341"
"North Carolina","2012","97.9","2.1","4,517"
"North Dakota","2012","97.4","2.6","760"
"Ohio","2012","92.4","7.6","14,705"
"Oklahoma","2012","93.8","6.2","4,660"
"Oregon","2012","92.9","7.1","5,056"
"Pennsylvania","2012","97.4","2.6","1,715"
"Puerto Rico","2012","94.9","5.1","4,336"
"Rhode Island","2012","93.1","6.9","1,670"
"South Carolina","2012","97.2","2.8","6,517"
"South Dakota","2012","94.4","5.6","663"
"Tennessee","2012","97.3","2.7","4,681"
"Texas","2012","97.1","2.9","30,362"
"Utah","2012","95.4","4.6","4,856"
"Vermont","2012","93.7","6.3","303"
"Virginia","2012","97.3","2.7","2,852"
"Washington","2012","92.5","7.5","3,022"
"West Virginia","2012","97.6","2.4","2,305"
"Wisconsin","2012","95.6","4.4","2,169"
"Wyoming","2012","98.6","1.4","361"
