"State","Year","Children Without a Recurrence (%)","Children With One Or More Recurrence (%)","Number of Unique Victims"
"Alabama","2015","98.5","1.5","3,837"
"Alaska","2015","86.8","13.2","1,630"
"Arizona","2015","95.8","4.2","3,984"
"Arkansas","2015","94.8","5.2","4,375"
"California","2015","93.6","6.4","35,816"
"Colorado","2015","95","5","5,034"
"Connecticut","2015","93.7","6.3","3,255"
"Delaware","2015","98.5","1.5","678"
"District of Columbia","2015","94","6","633"
"Florida","2015","94.8","5.2","22,400"
"Georgia","2015","95.5","4.5","13,104"
"Hawaii","2015","98.8","1.2","725"
"Idaho","2015","95.7","4.3","788"
"Illinois","2015","92.6","7.4","14,842"
"Indiana","2015","93.5","6.5","12,341"
"Iowa","2015","92.3","7.7","3,829"
"Kansas","2015","94","6","853"
"Kentucky","2015","91.4","8.6","8,958"
"Louisiana","2015","94.2","5.8","6,057"
"Maine","2015","95.3","4.7","1,886"
"Maryland","2015","92.9","7.1","3,286"
"Massachusetts","2015","88.6","11.4","16,427"
"Michigan","2015","94.3","5.7","16,651"
"Minnesota","2015","95.3","4.7","2,502"
"Mississippi","2015","93.4","6.6","4,018"
"Missouri","2015","97","3","2,733"
"Montana","2015","95.4","4.6","914"
"Nebraska","2015","95.1","4.9","1,563"
"Nevada","2015","94.9","5.1","2,392"
"New Hampshire","2015","99.2","0.8","353"
"New Jersey","2015","95","5","4,771"
"New Mexico","2015","89.3","10.7","3,961"
"New York","2015","88.1","11.9","35,498"
"North Carolina","2015","97.2","2.8","3,848"
"North Dakota","2015","96.5","3.5","934"
"Ohio","2015","92.5","7.5","11,304"
"Oklahoma","2015","94.7","5.3","6,831"
"Oregon","2015","94.9","5.1","5,267"
"Pennsylvania","2015","98.9","1.1","1,810"
"Puerto Rico","2015","94.7","5.3","2,831"
"Rhode Island","2015","90.7","9.3","1,649"
"South Carolina","2015","96.2","3.8","7,066"
"South Dakota","2015","97.9","2.1","524"
"Tennessee","2015","96.3","3.7","5,488"
"Texas","2015","97.6","2.4","31,601"
"Utah","2015","94","6","4,820"
"Vermont","2015","96","4","428"
"Virginia","2015","97.4","2.6","2,694"
"Washington","2015","91.8","8.2","2,834"
"West Virginia","2015","98.1","1.9","2,353"
"Wisconsin","2015","96.2","3.8","2,264"
"Wyoming","2015","96.7","3.3","481"
